runIndex,capsuleCdScale,drogueCdScale,mainCdScale,mass_kg,densityScaleFactor,drogueDeployAltitudeOffset_m,mainDeployAltitudeOffset_m,touchdownVelocity_mps,totalDescentTime_s,peakDeceleration_g
206,0.905994717974536,0.961585988318238,1.04093615254733,6470.1853452123,1.01040594599949,187.964818442908,-162.439713684233,8.74964455246193,354.483713793973,3.3645309620078
207,1.03452042364503,0.988750043860914,1.0736284508755,6467.71497894474,1.01155755713357,135.246115859244,177.845687789609,8.60670557051123,391.547308539095,3.09078513708488
208,1.03664960565793,0.999434952801685,1.02356944804024,6536.89049844787,1.00423658479833,-187.845176121265,172.379478202791,8.89286856097234,379.23963713569,3.08500856054093
209,1.03790535020631,1.03530267715545,0.943135030479543,6515.88854702327,0.99363186433925,60.4931908165968,-157.362787876804,9.29668423800487,343.753402324807,3.17775300065279
210,1.03156906092061,1.09988274515413,0.909642407772111,6547.71741842213,0.994414477643372,148.301380134904,112.954193623309,9.48489887688798,362.549427079005,3.32206636716806
211,1.01340325219733,1.04768984185027,1.07570311226027,6490.4140321651,0.989621989693794,67.0373542254339,123.138376776503,8.70893356488932,383.570452170555,3.26051242433697
212,1.05245702695532,1.05956272977173,0.987116662962587,6531.7834216175,0.977212543322237,17.7956391843398,-197.696535800751,9.17517095508989,343.445040479412,3.19331262352314
213,0.964917165980054,0.97329230697428,0.979234538321851,6519.54672066899,0.993313486076221,-20.5225509509877,-104.982347650269,9.13040962429707,347.674271715659,3.22928143583397
214,0.974650358325868,0.94545392545263,0.914639184753689,6510.34485933814,1.0100927679133,47.7961384038458,-14.6023824797711,9.36005030515454,349.264068237792,3.14431054432663
215,0.975957156035846,1.07266672991437,1.00381635702724,6497.91818776297,0.971538523948386,-63.5008689495375,-47.9217524856572,9.10359583692871,355.932333245424,3.40086019523902
216,0.97976455617938,1.01603447384547,1.00672050934538,6510.79050927934,1.01589299569253,125.194295486437,87.2492304905978,8.8984838817542,374.471694947974,3.27693991207184
217,1.09110473919099,0.903646516535272,0.939155597136709,6450.75628749781,1.00884848284928,159.212219579995,-102.60708136948,9.19799781008526,348.169972549001,2.80643874739401
218,1.08540690895926,0.912053478057912,1.0868872053611,6485.16226872396,0.976085249706953,-5.65129632546975,-97.2893729117968,8.71906877858453,359.022623279046,3.05889433462521
219,0.956974580392385,0.961457992985257,1.06060517956653,6503.91612766753,0.98867846194936,44.1335133243673,86.4602696892774,8.7849531205444,373.109698197808,3.23038188267329
